"編號","所在園區","年齡","性別","體型","毛色","驅蟲紀錄","預防注射","絕育","訓犬狀態","性情","備註","被認養日期","照片"
"10404236009","后里園區","幼貓","母","小型(3-13公斤)","虎斑","已驅腸道寄生蟲","三合一,狂犬病疫苗","
				  已絶育
				  ","
","活潑,好動,親熟人","(感冒需持續觀察照護！)...
					  ","","http://www.animal.taichung.gov.tw/public/Data/119020/5611142371.png"
"10404236011","后里園區","幼貓","公","小型(3-13公斤)","黑白","已驅腸道寄生蟲","三合一,狂犬病疫苗","
				  已絶育
				  ","
","活潑,好動,親熟人","(感冒需持續觀察照護！)...
					  ","","http://www.animal.taichung.gov.tw/public/Data/119020/5611161671.png"
"10404236010","后里園區","幼貓","母","小型(3-13公斤)","虎斑","已驅腸道寄生蟲","三合一,狂犬病疫苗","
				  已絶育
				  ","
","活潑,好動,親熟人","(感冒需持續觀察照護！)...
					  ","","http://www.animal.taichung.gov.tw/public/Data/119020/5611183771.png"
"10404236008","后里園區","幼貓","母","小型(3-13公斤)","白底虎斑","已驅腸道寄生蟲","三合一,狂犬病疫苗","
				  已絶育
				  ","
","活潑,好動,親熟人","(感冒需持續觀察照護！)...
					  ","","http://www.animal.taichung.gov.tw/public/Data/119020/56111113671.png"
"10404256005","后里園區","幼貓","公","小型(3-13公斤)","黑白","已驅腸道寄生蟲","三合一,狂犬病疫苗","
				  已絶育
				  ","
","活潑,好動,親人","(感冒需持續觀察照護！)...
					  ","","http://www.animal.taichung.gov.tw/public/Data/119020/56111353771.gif"
"10405190012","南屯園區","成犬","母","小型(3-13公斤)","黑灰","已驅腸道寄生蟲","犬七合一, 狂犬病疫苗","
				  已絶育
				  ","
","溫和慢熟, 親熟人","開園後(10:00)若超過兩位以上想認養同一隻毛小...
					  ","","http://www.animal.taichung.gov.tw/public/Data/119020/56214561371.png"
"10404250002","南屯園區","成犬","母","中型(13-23公斤)","黑色","已驅腸道寄生蟲","犬七合一, 狂犬病疫苗","
				  已絶育
				  ","
","活潑好動, 熱情親人","
","","http://www.animal.taichung.gov.tw/public/Data/119020/5621451371.png"
"10405226017","南屯園區","幼犬","公","中型(13-23公斤)","黑色","已驅腸道寄生蟲","犬七合一, 狂犬病疫苗","
				  已絶育
				  ","
","熱情親人, 喜歡互動","益起認養吧!我在狗仔衫沙鹿店等您帶我回家唷!洽詢電...
					  ","","http://www.animal.taichung.gov.tw/public/Data/119020/56118445271.png"
"10405226016","南屯園區","幼犬","公","中型(13-23公斤)","黑色","已驅腸道寄生蟲","犬七合一, 狂犬病疫苗","
				  已絶育
				  ","
","熱情活潑, 喜歡互動","益起認養吧!我在狗仔衫東海店等您帶我回家唷!洽詢電...
					  ","","http://www.animal.taichung.gov.tw/public/Data/119020/56118433371.png"
"10405226015","南屯園區","幼犬","公","中型(13-23公斤)","黑色","已驅腸道寄生蟲","犬七合一, 狂犬病疫苗","
				  已絶育
				  ","
","活潑親人, 喜歡互動","益起認養吧!我在狗仔衫逢甲店等您帶我回家唷!洽詢電...
					  ","","http://www.animal.taichung.gov.tw/public/Data/119020/56118423071.png"
"10406016001","后里園區","幼犬","公","中型(13-23公斤)","黑白","已驅腸道寄生蟲","五合一,狂犬病疫苗","
				  已絶育
				  ","
","活潑,好動,親熟人","
","","http://www.animal.taichung.gov.tw/public/Data/119020/56118223871.gif"
"10405166007","后里園區","幼犬","公","中型(13-23公斤)","米色","已驅腸道寄生蟲","五合一,狂犬病疫苗","
				  已絶育
				  ","
","溫和,好動,親熟人","
","","http://www.animal.taichung.gov.tw/public/Data/119020/5611105371.gif"
