編號,拾獲地點,送交單位,動物類別,品種,體型,毛色,動物性別,公告時間,晶片號碼,備註
1031208-01,金沙鎮,清潔隊,犬,Mix,幼犬,灰白虎斑,公,12.08-12.19,無,
1031208-02,金城鎮,清潔隊,犬,Mix,大,黑,母,12.08-12.19,無,
1031208-03,金城鎮,清潔隊,犬,Mix,幼犬,黑,公,12.08-12.19,無,
1031208-04,金城鎮,清潔隊,犬,Mix,幼犬,黑,公,12.08-12.19,無,
1031208-05,金城鎮,清潔隊,犬,Mix,幼犬,黑,公,12.08-12.19,無,
1031208-06,金城鎮,清潔隊,犬,Mix,幼犬,黑,母,12.08-12.19,無,
1031208-07,金城鎮,清潔隊,犬,Mix,幼犬,黑,母,12.08-12.19,無,
1031208-08,金寧鄉,清潔隊,犬,德國狼犬,大,黑棕,公,12.08-12.19,900042000371230,棄養
1031208-09,金湖鎮,清潔隊,犬,Mix,大,虎斑,公,12.08-12.19,無,
1031208-10,金湖鎮,清潔隊,犬,Mix,大,黑棕,母,12.08-12.19,無,
1031208-11,金湖鎮,清潔隊,犬,Mix,中,黃黑,公,12.08-12.19,無,
1031208-12,金湖鎮,清潔隊,犬,Mix,中,虎斑,母,12.08-12.19,無,
1031208-13,金湖鎮,清潔隊,犬,Mix,中,黑,母,12.08-12.19,無,
1031208-14,金湖鎮,清潔隊,犬,Mix,幼犬,黑,公,12.08-12.19,無,
1031208-15,金湖鎮,清潔隊,犬,Mix,幼犬,黃,母,12.08-12.19,無,
