編號,拾獲地點,送交單位,動物類別,品種,年紀,體型,毛色,動物性別,公告時間,晶片號碼,備註
1031124-10,烈嶼鄉,清潔隊,犬,Mix,,幼犬,黑灰,公,11.24-12.05,無,
1031125-01,金沙鎮,清潔隊,犬,德國狼犬,,大,黑黃,公,11.25-12.06,900138000493789,棄養
1031125-02,金城鎮,清潔隊,犬,Mix,,大,黃,母,11.25-12.06,無,
1031125-03,金城鎮,清潔隊,犬,Mix,,中,白,公,11.25-12.06,無,
1031125-04,金城鎮,清潔隊,犬,Mix,,黑,黑,公,11.25-12.06,無,
1031125-05,金城鎮,清潔隊,犬,Mix,,幼犬,棕,公,11.25-12.06,無,
1031125-06,金城鎮,清潔隊,犬,Mix,,幼犬,棕,公,11.25-12.06,無,
1031125-07,金城鎮,清潔隊,犬,Mix,,幼犬,灰,母,11.25-12.06,無,
1031125-08,金湖鎮,清潔隊,犬,Mix,,大,黑,公,11.25-12.06,無,
1031125-09,金湖鎮,民,,,,,,,,,
1031126-01,金城鎮,清潔隊,犬,Mix,,中,黃,母,11.26-12.07,無,
1031127-01,金沙鎮,清潔隊,犬,哈士奇,,大,黃灰,母,11.28-12.09,900042000207173,有頸圈
1031127-02,金沙鎮,清潔隊,犬,Mix,,幼犬,淺黃灰,公,11.28-12.09,無,
1031127-03,金沙鎮,清潔隊,犬,Mix,,幼犬,米黃,公,11.28-12.09,無,
1031127-04,金沙鎮,清潔隊,犬,Mix,,幼犬,米黃,母,11.28-12.09,無,
1031127-05,金沙鎮,清潔隊,犬,Mix,,幼犬,米白,母,11.28-12.09,無,
1031127-06,金寧鄉,清潔隊,犬,Mix,,幼犬,黑,公,11.28-12.09,無,
1031201-01,金湖鎮,清潔隊,犬,Mix,,大,白,公,12.01-12.12,無,
1031201-02,金寧鄉,清潔隊,犬,Mix,,大,黑黃,母,12.01-12.12,無,
1031201-03,金寧鄉,清潔隊,犬,Mix,,中,黑黃,公,12.01-12.12,無,
1031201-04,烈嶼鄉,清潔隊,犬,Mix,,幼犬,黑棕,公,12.01-12.12,無,
1031201-05,烈嶼鄉,清潔隊,犬,Mix,,幼犬,咖啡棕,公,12.01-12.12,無,
1031202-01,金寧鄉,清潔隊,犬,Mix,,幼犬,黑,母,12.02-12.13,無,
1031202-02,金城鎮,清潔隊,犬,Mix,,大,虎斑,母,12.02-12.13,900042000207371,綠色胸背帶
1031203-01,金寧鄉,清潔隊,犬,Mix,,幼犬,黑棕,母,12.05-12.16,無,
1031204-01,金湖鎮,清潔隊,犬,Mix,大,,,,,,
1031204-02,金沙鎮,清潔隊,犬,Mix,,幼犬,黑黃,公,12.05-12.16,無,
1031204-03,金沙鎮,清潔隊,犬,Mix,,幼犬,黑黃,母,12.05-12.16,無,
1031205-01,金沙鎮,清潔隊,犬,Mix,,中,黃,公,12.05-12.16,無,
1031205-02,金沙鎮,清潔隊,犬,Mix,,幼犬,黑,公,12.05-12.16,無,
1031205-03,金沙鎮,清潔隊,犬,Mix,,幼犬,黑,母,12.05-12.16,無,
1031205-04,金沙鎮,清潔隊,犬,Mix,,幼犬,黑,母,12.05-12.16,無,
1031205-05,金城鎮,清潔隊,犬,Mix,,大,黃黑,母,12.05-12.16,無,
1031205-06,烈嶼鄉,清潔隊,犬,Mix,,幼犬,棕,公,12.05-12.16,無,
1031205-07,烈嶼鄉,清潔隊,犬,Mix,,幼犬,棕,母,12.05-12.16,無,
1031205-08,金湖鎮,清潔隊,犬,Mix,,中,棕,母,12.05-12.16,無,
1031208-01,金沙鎮,清潔隊,犬,Mix,,幼犬,灰白虎斑,公,12.08-12.19,無,
1031208-02,金城鎮,清潔隊,犬,Mix,,大,黑,母,12.08-12.19,無,
1031208-03,金城鎮,清潔隊,犬,Mix,,幼犬,黑,公,12.08-12.19,無,
1031208-04,金城鎮,清潔隊,犬,Mix,,幼犬,黑,公,12.08-12.19,無,
1031208-05,金城鎮,清潔隊,犬,Mix,,幼犬,黑,公,12.08-12.19,無,
1031208-06,金城鎮,清潔隊,犬,Mix,,幼犬,黑,母,12.08-12.19,無,
1031208-07,金城鎮,清潔隊,犬,Mix,,幼犬,黑,母,12.08-12.19,無,
1031208-08,金寧鄉,清潔隊,犬,德國狼犬,,大,黑棕,公,12.08-12.19,900042000371230,棄養
1031208-09,金湖鎮,清潔隊,犬,Mix,,大,虎斑,公,12.08-12.19,無,
1031208-10,金湖鎮,清潔隊,犬,Mix,,大,黑棕,母,12.08-12.19,無,
1031208-11,金湖鎮,清潔隊,犬,Mix,,中,黃黑,公,12.08-12.19,無,
1031208-12,金湖鎮,清潔隊,犬,Mix,,中,虎斑,母,12.08-12.19,無,
1031208-13,金湖鎮,清潔隊,犬,Mix,,中,黑,母,12.08-12.19,無,
1031208-14,金湖鎮,清潔隊,犬,Mix,,幼犬,黑,公,12.08-12.19,無,
1031208-15,金湖鎮,清潔隊,犬,Mix,,幼犬,黃,母,12.08-12.19,無,
1031209-01,金沙鎮,清潔隊,犬,Mix,,大,黑,公,12.09-12.20,無,
1031209-02,金湖鎮,清潔隊,犬,Mix,,大,白,公,12.09-12.20,無,
1031209-03,金城鎮,清潔隊,犬,Mix,,大,棕黑,公,12.09-12.20,無,
1031209-04,金寧鄉,清潔隊,犬,Mix,,大,黑棕,公,12.09-12.20,無,
1031209-05,金寧鄉,清潔隊,犬,Mix,,大,棕褐,公,12.09-12.20,無,
1031210-01,金寧鄉,清潔隊,犬,Mix,,中,黑,母,12.10-12.21,無,
1031210-02,金沙鎮,清潔隊,犬,Mix,,大,米白,公,12.10-12.21,無,
1031211-01,金寧鄉,清潔隊,犬,Mix,,大,黑,母,12.11-12.22,無,
1031211-02,金寧鄉,清潔隊,犬,Mix,,幼犬,黑,母,12.11-12.22,無,
1031212-01,金寧鄉,清潔隊,犬,Mix,,幼犬,黑,母,12.12-12.23,無,
1031212-02,金寧鄉,清潔隊,犬,Mix,,中,黑,母,12.12-12.23,無,
1031215-01,烈嶼鄉,清潔隊,犬,Mix,,幼犬,米黃,母,12.16-12.27,無,
1031215-02,烈嶼鄉,清潔隊,犬,Mix,,幼犬,棕灰,母,12.16-12.27,無,
1031216-01,金湖鎮,清潔隊,犬,Mix,,中（幼）,黑棕,母,12.16-12.27,無,
1031217-01,金沙鎮,清潔隊,犬,Mix,,幼犬,棕灰,公,12.17-12.28,無,
1031217-02,金沙鎮,清潔隊,犬,Mix,,幼犬,棕灰,公,12.17-12.28,無,
1031217-03,金沙鎮,清潔隊,犬,Mix,,幼犬,灰黑,母,12.17-12.28,無,
1031217-04,金寧鄉,清潔隊,犬,Mix,,大,黑,公,12.17-12.28,無,
1031217-05,烈嶼鄉,清潔隊,犬,Mix,,幼犬,黑,公,12.17-12.28,無,
1031217-06,烈嶼鄉,清潔隊,犬,Mix,,幼犬,黑,公,12.17-12.28,無,
1031217-07,烈嶼鄉,清潔隊,犬,Mix,,幼犬,黑,母,12.17-12.28,無,
1031217-08,烈嶼鄉,清潔隊,犬,Mix,,幼犬,白,母,12.17-12.28,無,
1031218-01,金寧鄉,清潔隊,犬,Mix,,大,白,母,12.18-12.29,無,
1031222-01,金沙鎮,清潔隊,犬,Mix,,大,虎斑,公,12.23-104.01.03,無,
1031222-02,金沙鎮,清潔隊,犬,Mix,,大,黑,母,12.23-104.01.03,無,
1031223-01,烈嶼鄉,清潔隊,犬,Mix,,幼犬,黑,公,12.23-104.01.03,無,
1031223-02,烈嶼鄉,清潔隊,犬,Mix,,幼犬,白,公,12.23-104.01.03,無,
1031223-03,烈嶼鄉,清潔隊,犬,Mix,,幼犬,黑白,公,12.23-104.01.03,無,
1031225-01,金寧鄉,清潔隊,犬,Mix,大,,,,,,
1031225-02,金寧鄉,清潔隊,犬,Mix,,中,黑灰,公,103.12.25-104.01.05,無,
1031225-03,金寧鄉,清潔隊,犬,Mix,,中,黑灰,母,103.12.25-104.01.05,無,
1031226-01,金沙鎮,清潔隊,犬,Mix,,大,黃,母,12.27-01.07,無,
1031226-02,金湖鎮,清潔隊,犬,Mix,,大,黃黑,母,12.27-01.07,無,
1031226-03,金湖鎮,清潔隊,犬,Mix,,幼犬,黑,公,12.27-01.07,無,
1031226-04,金寧鄉,民,,,,,,,,,
1040105-01,金沙鎮,清潔隊,犬,Mix,,成犬,黑白,公,01.06-01.17,無,
1040105-C1,金湖鎮,清潔隊,犬,Mix,,成貓,褐虎斑,母,01.06-01.17,無,
1040105-C2,金湖鎮,清潔隊,犬,Mix,,成貓,褐虎斑,母,01.06-01.17,無,
1040105-C3,金湖鎮,清潔隊,犬,Mix,,成貓,白花,母,01.06-01.17,無,
1040105-C4,金湖鎮,清潔隊,犬,Mix,,成貓,虎班白,母,01.06-01.17,無,
1040106-01,金城鎮,清潔隊,犬,Mix,,成犬,黑,公,01.06-01.17,無,精神不濟
1040106-C1,金湖鎮,清潔隊,犬,Mix,,成貓,褐黃虎斑,公,01.06-01.17,無,
1040106-C2,金城鎮,清潔隊,犬,Mix,,成貓,虎班白,公,01.06-01.17,無,
1040106-C3,金城鎮,清潔隊,犬,Mix,,成貓,褐虎斑,公,01.06-01.17,無,
1040106-C4,金城鎮,清潔隊,犬,Mix,,成貓,褐虎斑,公,01.06-01.17,無,
1040106-C5,金城鎮,清潔隊,犬,Mix,,成貓,褐虎斑,公,01.06-01.17,無,
1040106-C6,金城鎮,清潔隊,犬,Mix,,成貓,銀灰虎斑,母,01.06-01.17,無,
1040107-01,金城鎮,清潔隊,犬,Mix,,中,白,母,01.07-01.18,無,
1040107-02,金城鎮,清潔隊,犬,Mix,,幼犬,黑,公,01.07-01.18,無,
1040107-03,金城鎮,清潔隊,犬,Mix,,幼犬,黑棕,母,01.07-01.18,無,
1040107-04,金湖鎮,清潔隊,犬,Mix,,大,虎斑,公,01.07-01.18,無,頸部受傷
1040107-C01,金沙鎮,清潔隊,貓,Mix,,成貓,褐虎斑,公,01.07-01.18,無,
1040107-C02,金沙鎮,清潔隊,貓,Mix,,成貓,黃虎斑,公,01.07-01.18,無,
1040107-C03,金沙鎮,清潔隊,貓,Mix,,成貓,黑,公,01.07-01.18,無,
1040107-C04,金湖鎮,清潔隊,貓,Mix,,成貓,白灰,母,01.07-01.18,無,
1040107-C05,金湖鎮,清潔隊,貓,Mix,,成貓,黑,母,01.07-01.18,無,
1040107-C06,金湖鎮,清潔隊,貓,Mix,,成貓,褐虎斑,母,01.07-01.18,無,
1040107-C07,金湖鎮,清潔隊,貓,Mix,,成貓,褐虎斑,母,01.07-01.18,無,
1040107-C08,金湖鎮,清潔隊,貓,Mix,,幼貓,灰虎斑,母,01.07-01.18,無,
1040107-C09,金湖鎮,清潔隊,貓,Mix,,幼貓,黃虎斑,母,01.07-01.18,無,
1040107-C10,金湖鎮,清潔隊,貓,Mix,,幼貓,黃虎斑,母,01.07-01.18,無,
1040108-C1,金沙鎮,清潔隊,貓,Mix,,成貓,灰虎斑,公,01.08-01.19,無,
1040108-C10,金湖鎮,清潔隊,貓,Mix,,成貓,褐黃虎斑,母,01.08-01.19,無,
1040108-C2,金沙鎮,清潔隊,貓,Mix,,成貓,褐虎斑,公,01.08-01.19,無,
1040108-C3,金沙鎮,清潔隊,貓,Mix,,成貓,褐虎斑,公,01.08-01.19,無,
1040108-C4,金湖鎮,清潔隊,貓,Mix,,成貓,黃虎斑,公,01.08-01.19,無,
1040108-C5,金湖鎮,清潔隊,貓,Mix,,成貓,灰虎斑,公,01.08-01.19,無,
1040108-C6,金湖鎮,清潔隊,貓,Mix,,成貓,灰虎斑,公,01.08-01.19,無,
1040108-C7,金湖鎮,清潔隊,貓,Mix,,成貓,褐虎斑,公,01.08-01.19,無,
1040108-C8,金湖鎮,清潔隊,貓,Mix,,成貓,褐虎斑,母,01.08-01.19,無,
1040108-C9,金湖鎮,清潔隊,貓,Mix,,成貓,褐黃虎斑,母,01.08-01.19,無,
1040109-C1,金沙鎮,清潔隊,貓,Mix,,成貓,黃黑虎斑,母,01.09-01.20,無,
1040112-01,金城鎮,清潔隊,犬,Mix,成犬,大,棕,公,01.12-01.23,無,
1040112-02,金湖鎮,清潔隊,犬,Mix,成犬,中,黃,母,01.12-01.23,無,
1040113-01,金沙鎮,清潔隊,犬,Mix,成犬,大,黃,母,01.13-01.24,無,
1040113-C1,金沙鎮,清潔隊,貓,Mix,幼貓,中,灰虎斑,母,01.13-01.24,無,
1040113-C2,金湖鎮,清潔隊,貓,Mix,幼貓,中,灰虎斑,公,01.13-01.24,無,
1040114-01,金城鎮,清潔隊,犬,Mix,成犬,大,白,公,01.14-01.25,無,
1040114-02,金寧鄉,清潔隊,犬,Mix,幼犬,小,黑黃,母,01.14-01.25,無,
1040114-03,金寧鄉,清潔隊,犬,Mix,幼犬,小,黃黑,母,01.14-01.25,無,
1040114-04,烈嶼鄉,清潔隊,犬,Mix,幼犬,小,黃棕,公,01.14-01.25,無,
1040114-05,烈嶼鄉,清潔隊,犬,Mix,幼犬,小,白花,公,01.14-01.25,無,
1040114-06,烈嶼鄉,清潔隊,犬,Mix,幼犬,小,白黑,公,01.14-01.25,無,
1040114-C1,金沙鎮,清潔隊,貓,Mix,成貓,中,灰虎斑,母,01.14-01.25,無,
1040114-C2,金寧鄉,清潔隊,貓,Mix,成貓,中,灰虎斑,公,01.14-01.25,無,
1040115-01,金城鎮,清潔隊,犬,Mix,成,大,棕黃,公,01.15-01.26,158100965378315,104.01.15領回
1040115-C1,金沙鎮,清潔隊,貓,Mix,成,中,灰虎斑,公,01.15-01.26,無,
1040115-C2,金沙鎮,清潔隊,貓,Mix,成,中,黑,公,01.15-01.26,無,
1040116-01,烈嶼鄉,清潔隊,犬,Mix,幼,中,白,公,01.16-01.27,無,
1040116-02,金寧鄉,清潔隊,犬,Mix,成,大,黑棕,公,01.16-01.27,無,
1040116-C1,金沙鎮,清潔隊,貓,Mix,成,中,灰虎斑,公,01.16-01.27,無,
1040117-C1,金城鎮,通報,貓,Mix,成,中,灰虎斑,公,01.19-01.30,無,
1040118-01,金湖鎮,金湖分局,犬,Mix,成,中,黑,母,01.19-01.30,900138000476695,領回
1040119-C1,金沙鎮,清潔隊,貓,Mix,成,中,灰虎斑,公,01.19-01.30,無,
1040119-C2,金沙鎮,清潔隊,貓,Mix,幼,小,灰虎斑,公,01.19-01.30,無,
1040120-01,金寧鄉,清潔隊,犬,Mix,成,大,黑棕,公,01.20-01.31,0006D0C566,棄養（似狼犬）
1040120-02,金寧鄉,清潔隊,犬,Mix,成,大,黑棕,公,01.20-01.31,0006D0E375,棄養（似狼犬）
1040120-03,金寧鄉,清潔隊,犬,Mix,成,大,棕,公,01.20-01.31,掃不到,棄養
1040120-04,金寧鄉,清潔隊,犬,Mix,成,幼,黑棕,公,01.20-01.31,無,
1040120-C1,金湖鎮,清潔隊,貓,Mix,成,中,灰虎斑,公,01.20-01.31,無,
1040120-C2,金湖鎮,清潔隊,貓,Mix,幼,小,灰虎斑,母,01.20-01.31,無,
1040120-C3,金湖鎮,清潔隊,貓,Mix,幼,小,黑白,公,01.20-01.31,無,
1040120-C4,金沙鎮,清潔隊,貓,Mix,成,大,黃虎斑白,公,01.20-01.31,無,
1040121-01,烈嶼鄉,清潔隊,犬,Mix,成,大,棕,母,01.21-02.01,無,
1040121-02,烈嶼鄉,清潔隊,犬,Mix,幼,小,黑棕,公,01.21-02.01,無,
1040121-03,烈嶼鄉,清潔隊,犬,Mix,幼,小,黑棕,公,01.21-02.01,無,
1040121-04,烈嶼鄉,清潔隊,犬,Mix,幼,小,黑棕,公,01.21-02.01,無,
1040121-05,烈嶼鄉,清潔隊,犬,Mix,幼,小,黑棕,公,01.21-02.01,無,
1040121-06,烈嶼鄉,清潔隊,犬,Mix,幼,小,黑棕,母,01.21-02.01,無,
1040121-07,烈嶼鄉,清潔隊,犬,Mix,幼,小,黑棕,母,01.21-02.01,無,
1040121-08,烈嶼鄉,清潔隊,犬,Mix,幼,小,黑棕,母,01.21-02.01,無,
1040121-C1,烈嶼鄉,清潔隊,貓,Mix,成,中,灰虎斑,公,01.21-02.01,無,
1040121-C2,烈嶼鄉,清潔隊,貓,Mix,成,中,褐虎斑,母,01.21-02.01,無,
1040122-C1,金沙鎮,清潔隊,貓,Mix,成,中,褐虎斑,母,01.23-02.03,無,
1040123-01,金城鎮,清潔隊,犬,Mix,幼,小,黑,公,01.23-02.03,無,
1040123-02,金城鎮,清潔隊,犬,Mix,幼,小,黑,公,01.23-02.03,無,
1040123-03,金城鎮,清潔隊,犬,Mix,幼,小,棕灰,母,01.23-02.03,無,
1040123-04,金城鎮,清潔隊,犬,Mix,幼,小,棕灰,母,01.23-02.03,無,
1040123-05,金寧鄉,清潔隊,犬,Mix,幼,小,黑,母,01.23-02.03,無,
1040123-06,金寧鄉,清潔隊,犬,Mix,幼,小,黑黃,母,01.23-02.03,無,
1040123-07,金寧鄉,清潔隊,犬,Mix,幼,小,黑棕,母,01.23-02.03,無,
1040123-C1,金沙鎮,清潔隊,貓,Mix,成,中,灰虎班白,公,01.23-02.03,無,
1040123-C10,烈嶼鄉,清潔隊,貓,Mix,幼,小,褐虎斑白,公,01.23-02.03,無,
1040123-C11,烈嶼鄉,清潔隊,貓,Mix,成,中,褐黃虎斑,母,01.23-02.03,無,
1040123-C12,烈嶼鄉,清潔隊,貓,Mix,成,中,虎班白,母,01.23-02.03,無,
1040123-C13,烈嶼鄉,清潔隊,貓,Mix,成,中,黑,母,01.23-02.03,無,
1040123-C14,烈嶼鄉,清潔隊,貓,Mix,幼,小,褐黃虎斑,母,01.23-02.03,無,
1040123-C15,烈嶼鄉,清潔隊,貓,Mix,幼,小,玳瑁,母,01.23-02.03,無,
1040123-C2,烈嶼鄉,清潔隊,貓,Mix,成,中,黃虎斑,公,01.23-02.03,無,
1040123-C3,烈嶼鄉,清潔隊,貓,Mix,成,中,黃虎斑,公,01.23-02.03,無,
1040123-C4,烈嶼鄉,清潔隊,貓,Mix,成,中,灰虎斑,公,01.23-02.03,無,
1040123-C5,烈嶼鄉,清潔隊,貓,Mix,成,中,灰虎斑,公,01.23-02.03,無,
1040123-C6,烈嶼鄉,清潔隊,貓,Mix,成,中,黑,公,01.23-02.03,無,
1040123-C7,烈嶼鄉,清潔隊,貓,Mix,成,中,黑,公,01.23-02.03,無,
1040123-C8,烈嶼鄉,清潔隊,貓,Mix,幼,小,深灰虎斑,公,01.23-02.03,無,
1040123-C9,烈嶼鄉,清潔隊,貓,Mix,幼,小,灰虎斑白,公,01.23-02.03,無,
1040126-01,金寧鄉,清潔隊,犬,Mix,幼,小,黑棕,公,01.26-02.06,無,
1040126-02,金城鎮,清潔隊,犬,Mix,成,大,黑棕,母,01.26-02.06,158100965383723,
1040126-03,金城鎮,清潔隊,犬,Mix,成,大,黑棕,母,01.26-02.06,無,紅黑條紋頸圈
1040126-C1,金沙鎮,清潔隊,貓,Mix,成,中,灰虎斑,公,01.26-02.06,無,
1040126-C10,金湖鎮,清潔隊,貓,Mix,成,中,黃虎斑,公,01.26-02.06,無,
1040126-C11,金湖鎮,清潔隊,貓,Mix,成,中,褐虎斑,公,01.26-02.06,無,
1040126-C2,烈嶼鄉,清潔隊,貓,Mix,成,中,灰虎斑,公,01.26-02.06,無,
1040126-C3,烈嶼鄉,清潔隊,貓,Mix,成,中,灰虎斑,公,01.26-02.06,無,
1040126-C4,烈嶼鄉,清潔隊,貓,Mix,成,中,灰虎班白,母,01.26-02.06,無,
1040126-C5,烈嶼鄉,清潔隊,貓,Mix,幼,小,灰虎斑,公,01.26-02.06,無,
1040126-C6,烈嶼鄉,清潔隊,貓,Mix,幼,小,灰虎斑,公,01.26-02.06,無,
1040126-C7,烈嶼鄉,清潔隊,貓,Mix,幼,小,玳瑁,母,01.26-02.06,無,
1040126-C8,烈嶼鄉,清潔隊,貓,Mix,幼,小,玳瑁,母,01.26-02.06,無,
1040126-C9,烈嶼鄉,清潔隊,貓,Mix,幼,小,黑花,母,01.26-02.06,無,
1040127-01,金寧鄉,清潔隊,犬,Mix,幼,小,黑,公,01.27-02.07,無,
1040127-02,金寧鄉,清潔隊,犬,Mix,幼,小,黑黃,公,01.27-02.07,無,
1040127-03,金寧鄉,清潔隊,犬,Mix,幼,小,黑,母,01.27-02.07,無,
1040127-04,金寧鄉,清潔隊,犬,Mix,幼,小,黃,母,01.27-02.07,無,
1040127-05,金城鎮,清潔隊,犬,Mix,成,大,棕,公,01.27-02.07,158100965373033,黃皮帶頸圈、01/27領回
1040127-C1,金沙鎮,清潔隊,貓,Mix,成,中,棕虎斑,母,01.27-02.07,無,
1040127-C2,金寧鄉,清潔隊,貓,Mix,成,中,灰虎斑,公,01.27-02.07,無,
1040128-C1,金湖鎮,清潔隊,貓,Mix,成,中,褐黃虎斑,母,01.28-02.08,無,
1040128-C2,金沙鎮,清潔隊,貓,Mix,成,中,灰虎斑,公,01.28-02.08,無,
1040128-C3,金寧鄉,清潔隊,貓,Mix,成,中,黑白,公,01.28-02.08,無,
1040129-01,金城鎮,清潔隊,犬,Mix,幼,小,棕灰,公,01.30-02.10,無,
1040129-02,金城鎮,清潔隊,犬,Mix,幼,小,黑棕,公,01.30-02.10,無,
1040129-03,金城鎮,清潔隊,犬,Mix,幼,小,黑棕,公,01.30-02.10,無,
1040129-04,金城鎮,清潔隊,犬,Mix,幼,小,黑棕,公,01.30-02.10,無,
1040129-05,金城鎮,清潔隊,犬,Mix,幼,小,黑棕,母,01.30-02.10,無,
1040129-06,金城鎮,清潔隊,犬,Mix,幼,小,白,母,01.30-02.10,無,
1040129-07,金寧鄉,清潔隊,犬,Mix,成,大,黑黃,公,01.30-02.10,無,
1040129-C1,金沙鎮,清潔隊,貓,Mix,成,中,黃虎班白,公,01.30-02.10,無,
1040129-C2,金沙鎮,清潔隊,貓,Mix,成,中,灰虎斑,公,01.30-02.10,無,
1040129-C3,金沙鎮,清潔隊,貓,Mix,成,中,褐黃虎斑,公,01.30-02.10,無,
1040129-C4,金湖鎮,清潔隊,貓,Mix,成,中,灰虎班白,公,01.30-02.10,無,
1040130-01,金城鎮,清潔隊,犬,Mix,成,大,棕灰,公,01.30-02.10,900138000601127,
1040130-02,金沙鎮,清潔隊,犬,Mix,幼,小,黑,公,01.30-02.10,無,
1040130-03,金沙鎮,清潔隊,犬,Mix,幼,小,白棕,公,01.30-02.10,無,
1040130-04,金沙鎮,清潔隊,犬,Mix,幼,小,黑,母,01.30-02.10,無,
1040130-05,金沙鎮,清潔隊,犬,Mix,幼,小,棕,母,01.30-02.10,無,
1040130-06,金沙鎮,清潔隊,犬,Mix,幼,小,棕白,母,01.30-02.10,無,
1040130-07,金湖鎮,清潔隊,犬,Mix,成,大,黑,公,01.30-02.10,無,
1040130-08,金湖鎮,清潔隊,犬,Mix,成,大,白花,母,01.30-02.10,無,
1040130-09,金寧鄉,清潔隊,犬,Mix,成,大,黑白,母,01.30-02.10,無,
1040130-10,烈嶼鄉,清潔隊,犬,Mix,成,大,黑,母,01.30-02.10,無,有頸圈
1040130-11,烈嶼鄉,清潔隊,犬,Mix,成,大,棕白,母,01.30-02.10,無,有頸圈
1040130-12,金湖鎮,清潔隊,犬,Mix,幼,中,白,母,01.30-02.10,無,
1040130-C1,金沙鎮,清潔隊,貓,Mix,成,中,褐黃虎斑,母,01.30-02.10,無,
1040201-01,金城鎮,通報,犬,Mix,成,大,黑,母,02.02-02.13,無,
1040201-C1,金寧鄉,通報,貓,Mix,成,中,灰黃虎斑,母,02.02-02.13,無,
1040202-01,烈嶼鄉,清潔隊,犬,Mix,成,大,白棕,母,02.02-02.13,無,紅綠帆布頸圈
1040202-02,烈嶼鄉,清潔隊,犬,Mix,成,大,白,公,02.02-02.13,無,紅綠帆布頸圈
1040202-C1,金湖鎮,清潔隊,貓,Mix,幼,小,黃虎斑,公,02.02-02.13,無,
1040202-C2,金湖鎮,高職,貓,Mix,成,中,黃虎班白,公,02.02-02.13,無,
1040203-C1,金湖鎮,清潔隊,貓,Mix,幼,小,黃虎斑,公,02.04-02.15,無,
1040203-C2,金湖鎮,清潔隊,貓,Mix,幼,小,褐虎斑,母,02.04-02.15,無,
1040203-C3,金湖鎮,清潔隊,貓,Mix,幼,小,三花,母,02.04-02.15,無,
1040203-C4,金沙鎮,清潔隊,貓,Mix,成,中,黃虎斑,公,02.04-02.15,無,
1040203-C5,金湖鎮,清潔隊,貓,Mix,成,中,褐虎斑,公,02.04-02.15,無,
1040203-C6,金湖鎮,清潔隊,貓,Mix,幼,小,褐虎斑,公,02.04-02.15,無,
1040203-C7,金湖鎮,清潔隊,貓,Mix,幼,小,黑,公,02.04-02.15,無,
1040204-01,金寧鄉,清潔隊,犬,Mix,成,大,棕,公,02.04-02.15,無,
1040204-02,金寧鄉,清潔隊,犬,Mix,成,大,灰虎斑,公,02.04-02.15,無,
1040204-03,金寧鄉,清潔隊,犬,Mix,成,大,灰虎斑,母,02.04-02.15,無,
1040204-04,金寧鄉,清潔隊,犬,Mix,成,大,黃虎斑,母,02.04-02.15,無,
1040204-05,金寧鄉,清潔隊,犬,Mix,成,大,灰虎斑,母,02.04-02.15,無,
1040204-06,金城鎮,清潔隊,犬,Mix,幼,中,灰,母,02.04-02.15,無,
1040204-07,金城鎮,清潔隊,犬,Mix,幼,小,虎斑,母,02.04-02.15,無,
1040204-08,金城鎮,清潔隊,犬,Mix,幼,小,虎斑,母,02.04-02.15,無,
1040204-09,烈嶼鄉,清潔隊,犬,Mix,成,大,棕,公,02.04-02.15,無,
1040204-10,烈嶼鄉,清潔隊,犬,Mix,幼,小,白,公,02.04-02.15,無,
1040204-11,烈嶼鄉,清潔隊,犬,Mix,幼,小,白,公,02.04-02.15,無,
1040204-12,烈嶼鄉,清潔隊,犬,Mix,幼,小,白花,母,02.04-02.15,無,
1040204-C1,金寧鄉,清潔隊,貓,Mix,幼,小,灰虎斑,公,02.04-02.15,無,
1040205-01,金城鎮,清潔隊,犬,Mix,幼,小,棕,公,02.05-02.16,無,
1040205-02,金城鎮,清潔隊,犬,Mix,幼,小,灰,母,02.05-02.16,無,
1040205-C1,金湖鎮,清潔隊,貓,Mix,成,中,褐虎斑,公,02.05-02.16,無,
1040205-C2,金湖鎮,清潔隊,貓,Mix,成,中,褐虎斑,公,02.05-02.16,無,
1040206-01,烈嶼鄉,清潔隊,犬,Mix,幼,小,棕,公,02.06-02.17,無,
1040206-02,烈嶼鄉,清潔隊,犬,Mix,幼,小,白,母,02.06-02.17,無,
1040206-C1,金湖鎮,清潔隊,貓,Mix,成,中,灰虎斑,公,02.06-02.17,無,
1040206-C2,金湖鎮,清潔隊,貓,Mix,成,中,褐虎斑,公,02.06-02.17,無,
1040206-C3,金湖鎮,清潔隊,貓,Mix,成,中,褐虎斑,公,02.06-02.17,無,
1040209-01,金湖鎮,清潔隊,犬,Mix,成,大,黑,母,02.09-02.20,無,
1040209-02,金寧鄉,清潔隊,犬,Mix,幼,小,虎斑,母,02.09-02.20,無,
1040209-03,金寧鄉,清潔隊,犬,Mix,幼,小,虎斑,母,02.09-02.20,無,
1040209-04,金寧鄉,清潔隊,犬,Mix,幼,小,黑,公,02.09-02.20,無,
1040209-05,金寧鄉,清潔隊,犬,Mix,幼,小,黑,母,02.09-02.20,無,
1040209-06,金寧鄉,清潔隊,犬,Mix,幼,小,黑,母,02.09-02.20,無,
1040209-07,金寧鄉,清潔隊,犬,Mix,幼,小,黑,母,02.09-02.20,無,
1040209-C1,金沙鎮,清潔隊,貓,Mix,成,中,黑白,公,02.09-02.20,無,
1040210-01,金湖鎮,清潔隊,犬,Mix,幼,中,黑棕,公,02.10-02.21,無,
1040210-C1,金湖鎮,清潔隊,貓,Mix,成,中,三花,母,02.10-02.21,無,
1040211-01,烈嶼鄉,清潔隊,犬,Mix,幼,小,黑棕,公,02.11-02.22,無,
