編號,拾獲地點,送交單位,動物類別,品種,年紀,體型,毛色,動物性別,公告時間,晶片號碼,備註
1040406-01,金城鎮,清潔隊,犬,西施,成,小,白棕,公,04.07-04.18,900042000369051,
1040407-01,金寧鄉,清潔隊,犬,Mix,幼,小,黃,公,04.07-04.18,無,
1040407-02,金寧鄉,清潔隊,犬,Mix,幼,小,黃,母,04.07-04.18,無,
1040407-03,金寧鄉,清潔隊,犬,Mix,幼,小,黃,母,04.07-04.18,無,
1040407-04,金寧鄉,清潔隊,犬,Mix,幼,小,虎斑,母,04.07-04.18,無,
1040407-05,金湖鎮,清潔隊,犬,Mix,成,大,黑,公,04.07-04.18,無,
1040407-06,金湖鎮,清潔隊,犬,Mix,成,大,虎斑,公,04.07-04.18,無,
1040407-C1,金湖鎮,清潔隊,貓,Mix,成,中,褐虎斑,公,04.07-04.18,無,
1040407-C2,金沙鎮,清潔隊,貓,Mix,成,中,黃虎斑,公,04.07-04.18,無,
1040407-C3,金沙鎮,清潔隊,貓,Mix,成,中,黃虎斑,母,04.07-04.18,無,
