"來源地點","入園日期","品種","備註","性別","收容原因","晶片號碼","毛色","體型","相片網址"
"平鎮區陸光路14巷","104年5月29日",Mix,,"母","政府捕捉",,"黑",中,https://g0v.github.io/animal.coa/%E6%A1%83%E5%9C%92%E5%B8%82/2015-05-29/6ce9abc81c1d29f5fb5f279b2a25e1517faaf034.jpg
"龍潭區桃園球場","104年5月29日",Mix,"附通報紀錄單","母","民眾陳情捕捉",,"黃","小",https://g0v.github.io/animal.coa/%E6%A1%83%E5%9C%92%E5%B8%82/2015-05-29/f780db81123546890102744e22fb44e16418ce2e.jpg
"龍潭區竹龍路","104年5月29日",Mix,"附通報紀錄單/4隻","公","民眾陳情捕捉",,"黑",幼,https://g0v.github.io/animal.coa/%E6%A1%83%E5%9C%92%E5%B8%82/2015-05-29/eb72a20e4363fe0b639be06c8cc2b74af0cd168d.jpg
"楊梅區富民街","104年5月29日","貓","附移交書","虎斑","民眾拾獲",,"虎斑",大,https://g0v.github.io/animal.coa/%E6%A1%83%E5%9C%92%E5%B8%82/2015-05-29/ce111d9c4d389d9dfc67b99f9404e64bdcbf8298.jpg
"桃園區虎頭山公園內","104年5月29日",Mix,"附通報紀錄單","母","民眾陳情捕捉",,"黑",中,https://g0v.github.io/animal.coa/%E6%A1%83%E5%9C%92%E5%B8%82/2015-05-29/d65452b03c6c9f46d40d77bcfbe4e253b070eef3.jpg
"龜山區新嶺土地公廟","104年5月29日","貓","附通報紀錄單","公","民眾陳情捕捉",,"虎斑白","小",https://g0v.github.io/animal.coa/%E6%A1%83%E5%9C%92%E5%B8%82/2015-05-29/df1c7b788726ce60dfb08777d615a1824d2b791d.jpg
"龜山區東方球場","104年5月29日",Mix,,"公","民眾陳情捕捉",,"黑",中,https://g0v.github.io/animal.coa/%E6%A1%83%E5%9C%92%E5%B8%82/2015-05-29/3cdb04c069fb877ab7985206a00c08e833f2b02d.jpg
"龜山區大棟山","104年5月29日",Mix," ","公","民眾陳情捕捉",,"咖啡",中,https://g0v.github.io/animal.coa/%E6%A1%83%E5%9C%92%E5%B8%82/2015-05-29/5772168ba639722dcf0cc4687ba6dded0858496c.jpg
"桃園區莊敬路一段","104年5月29日","貓","附通報紀錄單","公","民眾陳情捕捉",,"虎斑",中,https://g0v.github.io/animal.coa/%E6%A1%83%E5%9C%92%E5%B8%82/2015-05-29/7927c0b8fa8d896d001b89a94b4d6555eef474d8.jpg
"大園區內海里","104年5月29日",Mix,"附通報紀錄單","公","民眾陳情捕捉",,"虎斑",中,https://g0v.github.io/animal.coa/%E6%A1%83%E5%9C%92%E5%B8%82/2015-05-29/1dc8a4f7b86115a2696eebc48ad7d5c165b47504.jpg
"大園區內海里","104年5月29日",Mix,"附通報紀錄單/3隻","母","民眾陳情捕捉",,"黑/黃",幼,https://g0v.github.io/animal.coa/%E6%A1%83%E5%9C%92%E5%B8%82/2015-05-29/02ac9fefa2eadea3c9cdc73a9a23c9e0f48fe0b3.jpg
"平鎮區環南路","104年5月29日",Mix,,"母","民眾退回",158097007121326,"黑",幼,https://g0v.github.io/animal.coa/%E6%A1%83%E5%9C%92%E5%B8%82/2015-05-29/02744b1af992b7e9f83b4ad64edf7f9b41c1d6e9.jpg
"中壢區崇德路3段","104年5月29日",Mix,"附通報紀錄單/黃項圈","母","民眾陳情捕捉",900128002047434,"咖啡",中,https://g0v.github.io/animal.coa/%E6%A1%83%E5%9C%92%E5%B8%82/2015-05-29/9cd5de64eb06cc828ca556f86c8d1aa195fef937.jpg
"中壢區五華街","104年5月29日","貓","附通報紀錄單/4隻","母","民眾陳情捕捉",,"花/玳瑁",幼,https://g0v.github.io/animal.coa/%E6%A1%83%E5%9C%92%E5%B8%82/2015-05-29/884f57c606f6f7e17564c3fb46b1e78be2a0bb35.jpg
"中壢區高鐵站","104年5月29日","貓","附通報紀錄單","公","民眾陳情捕捉",,"虎斑白",幼,https://g0v.github.io/animal.coa/%E6%A1%83%E5%9C%92%E5%B8%82/2015-05-29/ae6b4dc4b72b5a9bb90047ad2d27c907224223f0.jpg
"中壢區六和九街","104年5月29日","貓","附通報紀錄單","公","民眾陳情捕捉",,"虎斑白",中,https://g0v.github.io/animal.coa/%E6%A1%83%E5%9C%92%E5%B8%82/2015-05-29/c459f72e18e33d0cda09c563beda6c52e478f05f.jpg
"大溪區仁和路2段","104年5月29日","貓","附移交書","母","民眾拾獲",,"黃",大,https://g0v.github.io/animal.coa/%E6%A1%83%E5%9C%92%E5%B8%82/2015-05-29/46eb67a779ebf262627fae08b14ccef422acca46.jpg
"大溪區介壽路","104年5月29日","貓","附移交書","母","民眾拾獲",,"黃",幼,https://g0v.github.io/animal.coa/%E6%A1%83%E5%9C%92%E5%B8%82/2015-05-29/952ccb13bd6aafe10304672db55f39d4db344368.jpg
