_id,Name,Sex,Type,Build,Age,Variety,Reason,AcceptNum,ChipNum,IsSterilization,HairType,Note,Resettlement,Phone,Email,ChildreAnlong,AnimalAnlong,Bodyweight,ImageName
1,,雄,犬,中,成年,米克斯,動物救援,104061102,,未絕育,黃,右前腳掌傷 左前腳傷,臺北市動物之家 收容編號104061102,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/d8c10704-490d-46fa-8ae7-43653124fcac.jpg
2,,雄,貓,中,成年,米克斯,動物救援,104061120,,未絕育,黃白,頭、右後隻外傷,臺北市動物之家 收容編號104061120,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/43fb383d-802e-4556-b0a1-15344a366d74.jpg
3,,雄,貓,小,幼齡,米克斯,動物救援,104061112,,未絕育,虎斑,鼻氣管炎,臺北市動物之家 收容編號104061112,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/93a497c9-5ab1-4410-a730-1c4e611a089d.jpg
4,,雄,貓,中,年輕,米克斯,民眾拾獲,104060904,,未絕育,虎斑,車禍癱瘓,臺北市動物之家 收容編號104060904,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/31e655b1-68c8-42cf-a314-13f4ca49b14a.jpg
5,,雌,犬,大,老年,黃金獵犬,動物救援,104060713,,未絕育,黃,眼屎；全身皮病；嚴重耳炎,臺北市動物之家 收容編號104060713,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/3e17e69e-5038-452a-85ca-c96963e4441e.jpg
6,,雌,貓,幼,幼齡,米克斯,民眾拾獲,104060609,900073000015329,未絕育,黑白,"健康、行為評估:年幼、緊張可觸摸

大家好~我是可愛的小眉，
對陌生環境還有一點緊張，
但是我可以摸摸喔！
有沒有被我可愛的眉毛收服呢?
讓我健康的長大吧!帶我回家好嗎?

<欲認養本區動物，請詳閱相簿說明>",,,,,,,http://163.29.39.183/uploads/images/medium/45c6a082-9e6a-43f0-9b30-bc1830a1fb0f.jpg
7,,雄,貓,幼,幼齡,米克斯,民眾拾獲,104060608,900073000015384,未絕育,黑,"大家好~我是小黑，
對陌生環境還有一點緊張，
但是我可以摸摸喔！
讓我健康的長大吧!帶我回家好嗎?
",,,,,,,http://163.29.39.183/uploads/images/medium/4d8df82d-44e3-4862-aa13-5019c2fb385d.jpg
8,,雌,犬,中,老年,米克斯,動物救援,104060511,,未絕育,黑,後癱；心絲蟲症；眼膿；極度虛弱；脫水,臺北市動物之家 收容編號104060511,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/fc39342f-3774-4636-9a36-c587203f58c1.jpg
9,熊咩 ,雌,貓,中,成年,米克斯,民眾不擬續養,104060405,158097007411242,已絕育,黑黃,我叫熊咩，我的個性比較不怕生喜歡和人親近，快來帶我回家吧!,臺北市動物之家 收容編號104060405,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/36ce9bfd-0f40-4b2f-a632-c01551dd91eb.jpg
10,小趴,雄,貓,中,成年,米克斯,民眾不擬續養,104060404,900108001489249,已絕育,虎斑,我叫小趴，個性比較害羞，要互動熟悉一段時間喔!,臺北市動物之家 收容編號104060404,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/50855b15-ddb1-4103-a4b0-5ff02d452fbe.jpg
