編號,拾獲地點,送交單位,動物類別,品種,體型,毛色,動物性別,公告時間,晶片號碼,備註
1031023-01,金湖鎮,清潔隊,犬,Mix,大,黑黃,母,10.23-11.03,無,車禍後腿受傷
1031023-02,金寧鄉,清潔隊,犬,Mix,大,黑,母,10.23-11.03,無,
1031023-03,金寧鄉,清潔隊,犬,Mix,幼犬,黑,公,10.23-11.03,無,
1031023-04,金寧鄉,清潔隊,犬,Mix,幼犬,黑,公,10.23-11.03,無,
1031023-05,金寧鄉,清潔隊,犬,Mix,幼犬,黑,母,10.23-11.03,無,
1031023-06,金寧鄉,清潔隊,犬,Mix,幼犬,黑,母,10.23-11.03,無,
1031023-07,金寧鄉,清潔隊,犬,Mix,幼犬,黑棕,公,10.23-11.03,無,
1031023-08,金寧鄉,清潔隊,犬,Mix,幼犬,黑棕,公,10.23-11.03,無,
1031023-09,金寧鄉,清潔隊,犬,Mix,幼犬,黃,母,10.23-11.03,無,
1031023-10,金湖鎮,清潔隊,犬,Mix,大,黃,公,10.23-11.03,無,
1031023-11,金湖鎮,清潔隊,犬,Mix,大,黑,母,10.23-11.03,無,
1031023-12,金城鎮,清潔隊,犬,Mix,大,黃,公,10.23-11.03,無,
1031023-13,金城鎮,清潔隊,犬,Mix,大,黃,公,10.23-11.03,無,
1031023-14,金城鎮,清潔隊,犬,Mix,大,黃,公,10.23-11.03,無,左後腿少一截
1031023-15,金城鎮,清潔隊,犬,Mix,大,黑,公,10.23-11.03,無,
